GEO.id,GEO.id2,GEO.display-label,HD01_VD01
Id,Id2,Geography,Estimate; Median gross rent
1500000US480291209022,480291209022,"Block Group 2, Census Tract 1209.02, Bexar County, Texas",1138
1500000US480291209023,480291209023,"Block Group 3, Census Tract 1209.02, Bexar County, Texas",743
1500000US480291209024,480291209024,"Block Group 4, Census Tract 1209.02, Bexar County, Texas",724
1500000US480291210001,480291210001,"Block Group 1, Census Tract 1210, Bexar County, Texas",798
1500000US480291210002,480291210002,"Block Group 2, Census Tract 1210, Bexar County, Texas",523
1500000US480291210003,480291210003,"Block Group 3, Census Tract 1210, Bexar County, Texas",740
1500000US480291210004,480291210004,"Block Group 4, Census Tract 1210, Bexar County, Texas",875
1500000US480291210005,480291210005,"Block Group 5, Census Tract 1210, Bexar County, Texas",711
1500000US480291210006,480291210006,"Block Group 6, Census Tract 1210, Bexar County, Texas",-
1500000US480291211081,480291211081,"Block Group 1, Census Tract 1211.08, Bexar County, Texas",1388
1500000US480291211082,480291211082,"Block Group 2, Census Tract 1211.08, Bexar County, Texas",1227
1500000US480291211083,480291211083,"Block Group 3, Census Tract 1211.08, Bexar County, Texas",943
1500000US480291211084,480291211084,"Block Group 4, Census Tract 1211.08, Bexar County, Texas",924
1500000US480291211085,480291211085,"Block Group 5, Census Tract 1211.08, Bexar County, Texas",774
1500000US480291211101,480291211101,"Block Group 1, Census Tract 1211.10, Bexar County, Texas",-
1500000US480291211102,480291211102,"Block Group 2, Census Tract 1211.10, Bexar County, Texas",1221
1500000US480291211103,480291211103,"Block Group 3, Census Tract 1211.10, Bexar County, Texas",1311
1500000US480291211111,480291211111,"Block Group 1, Census Tract 1211.11, Bexar County, Texas",1288
1500000US480291211112,480291211112,"Block Group 2, Census Tract 1211.11, Bexar County, Texas",-
1500000US480291211113,480291211113,"Block Group 3, Census Tract 1211.11, Bexar County, Texas",998
1500000US480291211114,480291211114,"Block Group 4, Census Tract 1211.11, Bexar County, Texas",1125
1500000US480291211121,480291211121,"Block Group 1, Census Tract 1211.12, Bexar County, Texas",974
1500000US480291211122,480291211122,"Block Group 2, Census Tract 1211.12, Bexar County, Texas",1133
1500000US480291211151,480291211151,"Block Group 1, Census Tract 1211.15, Bexar County, Texas",1395
1500000US480291211152,480291211152,"Block Group 2, Census Tract 1211.15, Bexar County, Texas",-
1500000US480291211153,480291211153,"Block Group 3, Census Tract 1211.15, Bexar County, Texas",1647
1500000US480291211161,480291211161,"Block Group 1, Census Tract 1211.16, Bexar County, Texas",805
1500000US480291211162,480291211162,"Block Group 2, Census Tract 1211.16, Bexar County, Texas",-
1500000US480291211163,480291211163,"Block Group 3, Census Tract 1211.16, Bexar County, Texas",1100
1500000US480291211164,480291211164,"Block Group 4, Census Tract 1211.16, Bexar County, Texas",781
1500000US480291211171,480291211171,"Block Group 1, Census Tract 1211.17, Bexar County, Texas",1103
1500000US480291211172,480291211172,"Block Group 2, Census Tract 1211.17, Bexar County, Texas",1185
1500000US480291211173,480291211173,"Block Group 3, Census Tract 1211.17, Bexar County, Texas",907
1500000US480291211181,480291211181,"Block Group 1, Census Tract 1211.18, Bexar County, Texas",1682
1500000US480291211182,480291211182,"Block Group 2, Census Tract 1211.18, Bexar County, Texas",906
1500000US480291211183,480291211183,"Block Group 3, Census Tract 1211.18, Bexar County, Texas",-
1500000US480291211191,480291211191,"Block Group 1, Census Tract 1211.19, Bexar County, Texas",1035
1500000US480291211192,480291211192,"Block Group 2, Census Tract 1211.19, Bexar County, Texas",964
1500000US480291211193,480291211193,"Block Group 3, Census Tract 1211.19, Bexar County, Texas",892
1500000US480291211201,480291211201,"Block Group 1, Census Tract 1211.20, Bexar County, Texas",1063
1500000US480291211202,480291211202,"Block Group 2, Census Tract 1211.20, Bexar County, Texas",1125
1500000US480291211211,480291211211,"Block Group 1, Census Tract 1211.21, Bexar County, Texas",-
1500000US480291211212,480291211212,"Block Group 2, Census Tract 1211.21, Bexar County, Texas",-
1500000US480291211221,480291211221,"Block Group 1, Census Tract 1211.22, Bexar County, Texas",1418
1500000US480291211222,480291211222,"Block Group 2, Census Tract 1211.22, Bexar County, Texas",1486
1500000US480291211223,480291211223,"Block Group 3, Census Tract 1211.22, Bexar County, Texas",1661
1500000US480291212031,480291212031,"Block Group 1, Census Tract 1212.03, Bexar County, Texas",528
1500000US480291212032,480291212032,"Block Group 2, Census Tract 1212.03, Bexar County, Texas",641
1500000US480291212033,480291212033,"Block Group 3, Census Tract 1212.03, Bexar County, Texas",1038
1500000US480291212034,480291212034,"Block Group 4, Census Tract 1212.03, Bexar County, Texas",883
1500000US480291212041,480291212041,"Block Group 1, Census Tract 1212.04, Bexar County, Texas",910
1500000US480291212042,480291212042,"Block Group 2, Census Tract 1212.04, Bexar County, Texas",814
1500000US480291212043,480291212043,"Block Group 3, Census Tract 1212.04, Bexar County, Texas",830
1500000US480291212044,480291212044,"Block Group 4, Census Tract 1212.04, Bexar County, Texas",798
1500000US480291212045,480291212045,"Block Group 5, Census Tract 1212.04, Bexar County, Texas",918
1500000US480291212051,480291212051,"Block Group 1, Census Tract 1212.05, Bexar County, Texas",915
1500000US480291212052,480291212052,"Block Group 2, Census Tract 1212.05, Bexar County, Texas",784
1500000US480291212061,480291212061,"Block Group 1, Census Tract 1212.06, Bexar County, Texas",-
1500000US480291212062,480291212062,"Block Group 2, Census Tract 1212.06, Bexar County, Texas",1180
1500000US480291212063,480291212063,"Block Group 3, Census Tract 1212.06, Bexar County, Texas",1325
1500000US480291212064,480291212064,"Block Group 4, Census Tract 1212.06, Bexar County, Texas",-
1500000US480291212065,480291212065,"Block Group 5, Census Tract 1212.06, Bexar County, Texas",1076
1500000US480291212066,480291212066,"Block Group 6, Census Tract 1212.06, Bexar County, Texas",1054
1500000US480291213001,480291213001,"Block Group 1, Census Tract 1213, Bexar County, Texas",1306
1500000US480291213002,480291213002,"Block Group 2, Census Tract 1213, Bexar County, Texas",1095
1500000US480291213003,480291213003,"Block Group 3, Census Tract 1213, Bexar County, Texas",-
1500000US480291213004,480291213004,"Block Group 4, Census Tract 1213, Bexar County, Texas",1345
1500000US480291214021,480291214021,"Block Group 1, Census Tract 1214.02, Bexar County, Texas",1201
1500000US480291214022,480291214022,"Block Group 2, Census Tract 1214.02, Bexar County, Texas",981
1500000US480291214031,480291214031,"Block Group 1, Census Tract 1214.03, Bexar County, Texas",796
1500000US480291214032,480291214032,"Block Group 2, Census Tract 1214.03, Bexar County, Texas",1105
1500000US480291214033,480291214033,"Block Group 3, Census Tract 1214.03, Bexar County, Texas",791
1500000US480291214041,480291214041,"Block Group 1, Census Tract 1214.04, Bexar County, Texas",1015
1500000US480291214042,480291214042,"Block Group 2, Census Tract 1214.04, Bexar County, Texas",580
1500000US480291214043,480291214043,"Block Group 3, Census Tract 1214.04, Bexar County, Texas",719
1500000US480291215011,480291215011,"Block Group 1, Census Tract 1215.01, Bexar County, Texas",1103
1500000US480291215012,480291215012,"Block Group 2, Census Tract 1215.01, Bexar County, Texas",1684
1500000US480291215013,480291215013,"Block Group 3, Census Tract 1215.01, Bexar County, Texas",1177
1500000US480291215014,480291215014,"Block Group 4, Census Tract 1215.01, Bexar County, Texas",1129
1500000US480291215041,480291215041,"Block Group 1, Census Tract 1215.04, Bexar County, Texas",721
