name,blockgroup,rent
1500000US480291207023,"Block Group 3, Census Tract 1207.02, Bexar County, Texas",951
1500000US480291208001,"Block Group 1, Census Tract 1208, Bexar County, Texas",838
1500000US480291208002,"Block Group 2, Census Tract 1208, Bexar County, Texas",-
1500000US480291208003,"Block Group 3, Census Tract 1208, Bexar County, Texas",-
1500000US480291208004,"Block Group 4, Census Tract 1208, Bexar County, Texas",-
1500000US480291208005,"Block Group 5, Census Tract 1208, Bexar County, Texas",-
1500000US480291208006,"Block Group 6, Census Tract 1208, Bexar County, Texas",-
1500000US480291208007,"Block Group 7, Census Tract 1208, Bexar County, Texas",688
1500000US480291209011,"Block Group 1, Census Tract 1209.01, Bexar County, Texas",673
1500000US480291209012,"Block Group 2, Census Tract 1209.01, Bexar County, Texas",711
1500000US480291209021,"Block Group 1, Census Tract 1209.02, Bexar County, Texas",903
1500000US480291209022,"Block Group 2, Census Tract 1209.02, Bexar County, Texas",1138
1500000US480291209023,"Block Group 3, Census Tract 1209.02, Bexar County, Texas",743
1500000US480291209024,"Block Group 4, Census Tract 1209.02, Bexar County, Texas",724
1500000US480291210001,"Block Group 1, Census Tract 1210, Bexar County, Texas",798
1500000US480291210002,"Block Group 2, Census Tract 1210, Bexar County, Texas",523
1500000US480291210003,"Block Group 3, Census Tract 1210, Bexar County, Texas",740
1500000US480291210004,"Block Group 4, Census Tract 1210, Bexar County, Texas",875
1500000US480291210005,"Block Group 5, Census Tract 1210, Bexar County, Texas",711
1500000US480291210006,"Block Group 6, Census Tract 1210, Bexar County, Texas",-
1500000US480291211081,"Block Group 1, Census Tract 1211.08, Bexar County, Texas",1388
1500000US480291211082,"Block Group 2, Census Tract 1211.08, Bexar County, Texas",1227
1500000US480291211083,"Block Group 3, Census Tract 1211.08, Bexar County, Texas",943
1500000US480291211084,"Block Group 4, Census Tract 1211.08, Bexar County, Texas",924
1500000US480291211085,"Block Group 5, Census Tract 1211.08, Bexar County, Texas",774
1500000US480291211101,"Block Group 1, Census Tract 1211.10, Bexar County, Texas",-
1500000US480291211102,"Block Group 2, Census Tract 1211.10, Bexar County, Texas",1221
1500000US480291211103,"Block Group 3, Census Tract 1211.10, Bexar County, Texas",1311
1500000US480291211111,"Block Group 1, Census Tract 1211.11, Bexar County, Texas",1288
1500000US480291211112,"Block Group 2, Census Tract 1211.11, Bexar County, Texas",-
1500000US480291211113,"Block Group 3, Census Tract 1211.11, Bexar County, Texas",998
1500000US480291211114,"Block Group 4, Census Tract 1211.11, Bexar County, Texas",1125
1500000US480291211121,"Block Group 1, Census Tract 1211.12, Bexar County, Texas",974
1500000US480291211122,"Block Group 2, Census Tract 1211.12, Bexar County, Texas",1133
1500000US480291211151,"Block Group 1, Census Tract 1211.15, Bexar County, Texas",1395
1500000US480291211152,"Block Group 2, Census Tract 1211.15, Bexar County, Texas",-
1500000US480291211153,"Block Group 3, Census Tract 1211.15, Bexar County, Texas",1647
1500000US480291211161,"Block Group 1, Census Tract 1211.16, Bexar County, Texas",805
1500000US480291211162,"Block Group 2, Census Tract 1211.16, Bexar County, Texas",-
1500000US480291211163,"Block Group 3, Census Tract 1211.16, Bexar County, Texas",1100
1500000US480291211164,"Block Group 4, Census Tract 1211.16, Bexar County, Texas",781
1500000US480291211171,"Block Group 1, Census Tract 1211.17, Bexar County, Texas",1103
1500000US480291211172,"Block Group 2, Census Tract 1211.17, Bexar County, Texas",1185
1500000US480291211173,"Block Group 3, Census Tract 1211.17, Bexar County, Texas",907
1500000US480291211181,"Block Group 1, Census Tract 1211.18, Bexar County, Texas",1682
1500000US480291211182,"Block Group 2, Census Tract 1211.18, Bexar County, Texas",906
1500000US480291211183,"Block Group 3, Census Tract 1211.18, Bexar County, Texas",-
1500000US480291211191,"Block Group 1, Census Tract 1211.19, Bexar County, Texas",1035
1500000US480291211192,"Block Group 2, Census Tract 1211.19, Bexar County, Texas",964
1500000US480291211193,"Block Group 3, Census Tract 1211.19, Bexar County, Texas",892
1500000US480291211201,"Block Group 1, Census Tract 1211.20, Bexar County, Texas",1063
1500000US480291211202,"Block Group 2, Census Tract 1211.20, Bexar County, Texas",1125
1500000US480291211211,"Block Group 1, Census Tract 1211.21, Bexar County, Texas",-
1500000US480291211212,"Block Group 2, Census Tract 1211.21, Bexar County, Texas",-
1500000US480291211221,"Block Group 1, Census Tract 1211.22, Bexar County, Texas",1418
1500000US480291211222,"Block Group 2, Census Tract 1211.22, Bexar County, Texas",1486
1500000US480291211223,"Block Group 3, Census Tract 1211.22, Bexar County, Texas",1661
1500000US480291212031,"Block Group 1, Census Tract 1212.03, Bexar County, Texas",528
1500000US480291212032,"Block Group 2, Census Tract 1212.03, Bexar County, Texas",641
1500000US480291212033,"Block Group 3, Census Tract 1212.03, Bexar County, Texas",1038
1500000US480291212034,"Block Group 4, Census Tract 1212.03, Bexar County, Texas",883
1500000US480291212041,"Block Group 1, Census Tract 1212.04, Bexar County, Texas",910
1500000US480291212042,"Block Group 2, Census Tract 1212.04, Bexar County, Texas",814
1500000US480291212043,"Block Group 3, Census Tract 1212.04, Bexar County, Texas",830
1500000US480291212044,"Block Group 4, Census Tract 1212.04, Bexar County, Texas",798
1500000US480291212045,"Block Group 5, Census Tract 1212.04, Bexar County, Texas",918
1500000US480291212051,"Block Group 1, Census Tract 1212.05, Bexar County, Texas",915
1500000US480291212052,"Block Group 2, Census Tract 1212.05, Bexar County, Texas",784
1500000US480291212061,"Block Group 1, Census Tract 1212.06, Bexar County, Texas",-
1500000US480291212062,"Block Group 2, Census Tract 1212.06, Bexar County, Texas",1180
1500000US480291212063,"Block Group 3, Census Tract 1212.06, Bexar County, Texas",1325
1500000US480291212064,"Block Group 4, Census Tract 1212.06, Bexar County, Texas",-
1500000US480291212065,"Block Group 5, Census Tract 1212.06, Bexar County, Texas",1076
1500000US480291212066,"Block Group 6, Census Tract 1212.06, Bexar County, Texas",1054
1500000US480291213001,"Block Group 1, Census Tract 1213, Bexar County, Texas",1306
1500000US480291213002,"Block Group 2, Census Tract 1213, Bexar County, Texas",1095
1500000US480291213003,"Block Group 3, Census Tract 1213, Bexar County, Texas",-
1500000US480291213004,"Block Group 4, Census Tract 1213, Bexar County, Texas",1345
1500000US480291214021,"Block Group 1, Census Tract 1214.02, Bexar County, Texas",1201
1500000US480291214022,"Block Group 2, Census Tract 1214.02, Bexar County, Texas",981
1500000US480291214031,"Block Group 1, Census Tract 1214.03, Bexar County, Texas",796
1500000US480291214032,"Block Group 2, Census Tract 1214.03, Bexar County, Texas",1105
1500000US480291214033,"Block Group 3, Census Tract 1214.03, Bexar County, Texas",791
1500000US480291214041,"Block Group 1, Census Tract 1214.04, Bexar County, Texas",1015
1500000US480291214042,"Block Group 2, Census Tract 1214.04, Bexar County, Texas",580
1500000US480291214043,"Block Group 3, Census Tract 1214.04, Bexar County, Texas",719
1500000US480291215011,"Block Group 1, Census Tract 1215.01, Bexar County, Texas",1103
1500000US480291215012,"Block Group 2, Census Tract 1215.01, Bexar County, Texas",1684
1500000US480291215013,"Block Group 3, Census Tract 1215.01, Bexar County, Texas",1177
1500000US480291215014,"Block Group 4, Census Tract 1215.01, Bexar County, Texas",1129
1500000US480291215041,"Block Group 1, Census Tract 1215.04, Bexar County, Texas",721
1500000US480291215042,"Block Group 2, Census Tract 1215.04, Bexar County, Texas",-
1500000US480291215043,"Block Group 3, Census Tract 1215.04, Bexar County, Texas",1210
1500000US480291215044,"Block Group 4, Census Tract 1215.04, Bexar County, Texas",1370
1500000US480291215051,"Block Group 1, Census Tract 1215.05, Bexar County, Texas",1059
1500000US480291215052,"Block Group 2, Census Tract 1215.05, Bexar County, Texas",967
1500000US480291215053,"Block Group 3, Census Tract 1215.05, Bexar County, Texas",1345
1500000US480291215061,"Block Group 1, Census Tract 1215.06, Bexar County, Texas",1100
1500000US480291215062,"Block Group 2, Census Tract 1215.06, Bexar County, Texas",718
1500000US480291215063,"Block Group 3, Census Tract 1215.06, Bexar County, Texas",881
1500000US480291215064,"Block Group 4, Census Tract 1215.06, Bexar County, Texas",1141
1500000US480291215071,"Block Group 1, Census Tract 1215.07, Bexar County, Texas",1074
1500000US480291215072,"Block Group 2, Census Tract 1215.07, Bexar County, Texas",770
1500000US480291215073,"Block Group 3, Census Tract 1215.07, Bexar County, Texas",815
1500000US480291215074,"Block Group 4, Census Tract 1215.07, Bexar County, Texas",1125
1500000US480291215081,"Block Group 1, Census Tract 1215.08, Bexar County, Texas",1045
1500000US480291215082,"Block Group 2, Census Tract 1215.08, Bexar County, Texas",931
1500000US480291215083,"Block Group 3, Census Tract 1215.08, Bexar County, Texas",1138
1500000US480291216011,"Block Group 1, Census Tract 1216.01, Bexar County, Texas",816
1500000US480291216012,"Block Group 2, Census Tract 1216.01, Bexar County, Texas",763
1500000US480291216013,"Block Group 3, Census Tract 1216.01, Bexar County, Texas",737
1500000US480291216014,"Block Group 4, Census Tract 1216.01, Bexar County, Texas",645
1500000US480291216041,"Block Group 1, Census Tract 1216.04, Bexar County, Texas",1097
1500000US480291216042,"Block Group 2, Census Tract 1216.04, Bexar County, Texas",-
1500000US480291216043,"Block Group 3, Census Tract 1216.04, Bexar County, Texas",867
1500000US480291216044,"Block Group 4, Census Tract 1216.04, Bexar County, Texas",1551
1500000US480291216051,"Block Group 1, Census Tract 1216.05, Bexar County, Texas",1115
1500000US480291216052,"Block Group 2, Census Tract 1216.05, Bexar County, Texas",828
1500000US480291216061,"Block Group 1, Census Tract 1216.06, Bexar County, Texas",-
1500000US480291216062,"Block Group 2, Census Tract 1216.06, Bexar County, Texas",946
1500000US480291216063,"Block Group 3, Census Tract 1216.06, Bexar County, Texas",-
1500000US480291216064,"Block Group 4, Census Tract 1216.06, Bexar County, Texas",-
1500000US480291217011,"Block Group 1, Census Tract 1217.01, Bexar County, Texas",854
1500000US480291217012,"Block Group 2, Census Tract 1217.01, Bexar County, Texas",-
1500000US480291217013,"Block Group 3, Census Tract 1217.01, Bexar County, Texas",936
1500000US480291217014,"Block Group 4, Census Tract 1217.01, Bexar County, Texas",950
1500000US480291217021,"Block Group 1, Census Tract 1217.02, Bexar County, Texas",1367
1500000US480291217022,"Block Group 2, Census Tract 1217.02, Bexar County, Texas",748
1500000US480291217023,"Block Group 3, Census Tract 1217.02, Bexar County, Texas",937
1500000US480291218021,"Block Group 1, Census Tract 1218.02, Bexar County, Texas",1380
1500000US480291218022,"Block Group 2, Census Tract 1218.02, Bexar County, Texas",1026
1500000US480291218023,"Block Group 3, Census Tract 1218.02, Bexar County, Texas",-
1500000US480291218031,"Block Group 1, Census Tract 1218.03, Bexar County, Texas",1168
1500000US480291218032,"Block Group 2, Census Tract 1218.03, Bexar County, Texas",1156
1500000US480291218033,"Block Group 3, Census Tract 1218.03, Bexar County, Texas",1015
1500000US480291218041,"Block Group 1, Census Tract 1218.04, Bexar County, Texas",1109
1500000US480291218042,"Block Group 2, Census Tract 1218.04, Bexar County, Texas",1114
1500000US480291218043,"Block Group 3, Census Tract 1218.04, Bexar County, Texas",718
1500000US480291218081,"Block Group 1, Census Tract 1218.08, Bexar County, Texas",-
1500000US480291218082,"Block Group 2, Census Tract 1218.08, Bexar County, Texas",1194
1500000US480291218091,"Block Group 1, Census Tract 1218.09, Bexar County, Texas",1112
1500000US480291218092,"Block Group 2, Census Tract 1218.09, Bexar County, Texas",1165
1500000US480291218093,"Block Group 3, Census Tract 1218.09, Bexar County, Texas",1495
1500000US480291218101,"Block Group 1, Census Tract 1218.10, Bexar County, Texas",1240
1500000US480291218102,"Block Group 2, Census Tract 1218.10, Bexar County, Texas",1646
1500000US480291218111,"Block Group 1, Census Tract 1218.11, Bexar County, Texas",1485
1500000US480291218112,"Block Group 2, Census Tract 1218.11, Bexar County, Texas",1610
1500000US480291218121,"Block Group 1, Census Tract 1218.12, Bexar County, Texas",1216
1500000US480291218122,"Block Group 2, Census Tract 1218.12, Bexar County, Texas",-
1500000US480291218123,"Block Group 3, Census Tract 1218.12, Bexar County, Texas",-
1500000US480291218124,"Block Group 4, Census Tract 1218.12, Bexar County, Texas",-
1500000US480291218131,"Block Group 1, Census Tract 1218.13, Bexar County, Texas",1331
1500000US480291219031,"Block Group 1, Census Tract 1219.03, Bexar County, Texas",1336
1500000US480291219032,"Block Group 2, Census Tract 1219.03, Bexar County, Texas",1667
1500000US480291219041,"Block Group 1, Census Tract 1219.04, Bexar County, Texas",1726
1500000US480291219042,"Block Group 2, Census Tract 1219.04, Bexar County, Texas",1683
1500000US480291219051,"Block Group 1, Census Tract 1219.05, Bexar County, Texas",1250
1500000US480291219052,"Block Group 2, Census Tract 1219.05, Bexar County, Texas",1201
1500000US480291219061,"Block Group 1, Census Tract 1219.06, Bexar County, Texas",1195
1500000US480291219062,"Block Group 2, Census Tract 1219.06, Bexar County, Texas",1176
1500000US480291219071,"Block Group 1, Census Tract 1219.07, Bexar County, Texas",-
1500000US480291219072,"Block Group 2, Census Tract 1219.07, Bexar County, Texas",1556
1500000US480291219081,"Block Group 1, Census Tract 1219.08, Bexar County, Texas",-
1500000US480291219082,"Block Group 2, Census Tract 1219.08, Bexar County, Texas",1984
1500000US480291219091,"Block Group 1, Census Tract 1219.09, Bexar County, Texas",1201
1500000US480291219092,"Block Group 2, Census Tract 1219.09, Bexar County, Texas",1323
1500000US480291219101,"Block Group 1, Census Tract 1219.10, Bexar County, Texas",1605
1500000US480291219102,"Block Group 2, Census Tract 1219.10, Bexar County, Texas",-
1500000US480291302001,"Block Group 1, Census Tract 1302, Bexar County, Texas",815
1500000US480291302002,"Block Group 2, Census Tract 1302, Bexar County, Texas",809
1500000US480291303001,"Block Group 1, Census Tract 1303, Bexar County, Texas",847
1500000US480291303002,"Block Group 2, Census Tract 1303, Bexar County, Texas",739
1500000US480291303003,"Block Group 3, Census Tract 1303, Bexar County, Texas",875
1500000US480291303004,"Block Group 4, Census Tract 1303, Bexar County, Texas",848
1500000US480291304011,"Block Group 1, Census Tract 1304.01, Bexar County, Texas",732
1500000US480291304012,"Block Group 2, Census Tract 1304.01, Bexar County, Texas",558
1500000US480291304013,"Block Group 3, Census Tract 1304.01, Bexar County, Texas",636
1500000US480291304014,"Block Group 4, Census Tract 1304.01, Bexar County, Texas",618
1500000US480291304021,"Block Group 1, Census Tract 1304.02, Bexar County, Texas",944
1500000US480291304022,"Block Group 2, Census Tract 1304.02, Bexar County, Texas",618
1500000US480291304023,"Block Group 3, Census Tract 1304.02, Bexar County, Texas",751
1500000US480291305001,"Block Group 1, Census Tract 1305, Bexar County, Texas",-
1500000US480291305002,"Block Group 2, Census Tract 1305, Bexar County, Texas",967
1500000US480291305003,"Block Group 3, Census Tract 1305, Bexar County, Texas",643
1500000US480291305004,"Block Group 4, Census Tract 1305, Bexar County, Texas",779
1500000US480291306001,"Block Group 1, Census Tract 1306, Bexar County, Texas",656
1500000US480291306002,"Block Group 2, Census Tract 1306, Bexar County, Texas",-
1500000US480291306003,"Block Group 3, Census Tract 1306, Bexar County, Texas",584
1500000US480291306004,"Block Group 4, Census Tract 1306, Bexar County, Texas",832
1500000US480291307001,"Block Group 1, Census Tract 1307, Bexar County, Texas",733
1500000US480291307002,"Block Group 2, Census Tract 1307, Bexar County, Texas",689
1500000US480291308001,"Block Group 1, Census Tract 1308, Bexar County, Texas",860
1500000US480291308002,"Block Group 2, Census Tract 1308, Bexar County, Texas",732
1500000US480291308003,"Block Group 3, Census Tract 1308, Bexar County, Texas",1031
1500000US480291308004,"Block Group 4, Census Tract 1308, Bexar County, Texas",747
1500000US480291309001,"Block Group 1, Census Tract 1309, Bexar County, Texas",784
1500000US480291309002,"Block Group 2, Census Tract 1309, Bexar County, Texas",391
1500000US480291309003,"Block Group 3, Census Tract 1309, Bexar County, Texas",884
1500000US480291310001,"Block Group 1, Census Tract 1310, Bexar County, Texas",806
1500000US480291310002,"Block Group 2, Census Tract 1310, Bexar County, Texas",879
1500000US480291310003,"Block Group 3, Census Tract 1310, Bexar County, Texas",922
1500000US480291310004,"Block Group 4, Census Tract 1310, Bexar County, Texas",848
1500000US480291311001,"Block Group 1, Census Tract 1311, Bexar County, Texas",770
1500000US480291311002,"Block Group 2, Census Tract 1311, Bexar County, Texas",771
1500000US480291311003,"Block Group 3, Census Tract 1311, Bexar County, Texas",857
1500000US480291312001,"Block Group 1, Census Tract 1312, Bexar County, Texas",698
1500000US480291312002,"Block Group 2, Census Tract 1312, Bexar County, Texas",763
1500000US480291313001,"Block Group 1, Census Tract 1313, Bexar County, Texas",-
1500000US480291313002,"Block Group 2, Census Tract 1313, Bexar County, Texas",527
1500000US480291313003,"Block Group 3, Census Tract 1313, Bexar County, Texas",841
1500000US480291313004,"Block Group 4, Census Tract 1313, Bexar County, Texas",1519
1500000US480291314011,"Block Group 1, Census Tract 1314.01, Bexar County, Texas",847
1500000US480291314012,"Block Group 2, Census Tract 1314.01, Bexar County, Texas",799
1500000US480291314021,"Block Group 1, Census Tract 1314.02, Bexar County, Texas",924
1500000US480291314022,"Block Group 2, Census Tract 1314.02, Bexar County, Texas",969
1500000US480291315031,"Block Group 1, Census Tract 1315.03, Bexar County, Texas",631
1500000US480291315032,"Block Group 2, Census Tract 1315.03, Bexar County, Texas",1084
1500000US480291315033,"Block Group 3, Census Tract 1315.03, Bexar County, Texas",-
1500000US480291315041,"Block Group 1, Census Tract 1315.04, Bexar County, Texas",980
1500000US480291315042,"Block Group 2, Census Tract 1315.04, Bexar County, Texas",1123
1500000US480291315043,"Block Group 3, Census Tract 1315.04, Bexar County, Texas",1061
1500000US480291315051,"Block Group 1, Census Tract 1315.05, Bexar County, Texas",1045
1500000US480291315052,"Block Group 2, Census Tract 1315.05, Bexar County, Texas",1269
1500000US480291315061,"Block Group 1, Census Tract 1315.06, Bexar County, Texas",716
1500000US480291315062,"Block Group 2, Census Tract 1315.06, Bexar County, Texas",1283
1500000US480291315071,"Block Group 1, Census Tract 1315.07, Bexar County, Texas",957
1500000US480291315072,"Block Group 2, Census Tract 1315.07, Bexar County, Texas",1082
1500000US480291315073,"Block Group 3, Census Tract 1315.07, Bexar County, Texas",1093
1500000US480291316011,"Block Group 1, Census Tract 1316.01, Bexar County, Texas",936
1500000US480291316012,"Block Group 2, Census Tract 1316.01, Bexar County, Texas",2046
1500000US480291316061,"Block Group 1, Census Tract 1316.06, Bexar County, Texas",792
1500000US480291316062,"Block Group 2, Census Tract 1316.06, Bexar County, Texas",1086
1500000US480291316081,"Block Group 1, Census Tract 1316.08, Bexar County, Texas",900
1500000US480291316082,"Block Group 2, Census Tract 1316.08, Bexar County, Texas",1156
1500000US480291316091,"Block Group 1, Census Tract 1316.09, Bexar County, Texas",1476
1500000US480291316092,"Block Group 2, Census Tract 1316.09, Bexar County, Texas",1370
1500000US480291316093,"Block Group 3, Census Tract 1316.09, Bexar County, Texas",983
1500000US480291316101,"Block Group 1, Census Tract 1316.10, Bexar County, Texas",1144
1500000US480291316102,"Block Group 2, Census Tract 1316.10, Bexar County, Texas",1258
1500000US480291316111,"Block Group 1, Census Tract 1316.11, Bexar County, Texas",1420
1500000US480291316121,"Block Group 1, Census Tract 1316.12, Bexar County, Texas",1287
1500000US480291316131,"Block Group 1, Census Tract 1316.13, Bexar County, Texas",1269
1500000US480291316132,"Block Group 2, Census Tract 1316.13, Bexar County, Texas",1343
1500000US480291316141,"Block Group 1, Census Tract 1316.14, Bexar County, Texas",1253
1500000US480291316142,"Block Group 2, Census Tract 1316.14, Bexar County, Texas",1341
1500000US480291316151,"Block Group 1, Census Tract 1316.15, Bexar County, Texas",954
1500000US480291316152,"Block Group 2, Census Tract 1316.15, Bexar County, Texas",1190
1500000US480291316153,"Block Group 3, Census Tract 1316.15, Bexar County, Texas",1643
1500000US480291316154,"Block Group 4, Census Tract 1316.15, Bexar County, Texas",1019
1500000US480291317001,"Block Group 1, Census Tract 1317, Bexar County, Texas",1805
1500000US480291318011,"Block Group 1, Census Tract 1318.01, Bexar County, Texas",1020
1500000US480291318012,"Block Group 2, Census Tract 1318.01, Bexar County, Texas",888
1500000US480291318021,"Block Group 1, Census Tract 1318.02, Bexar County, Texas",-
1500000US480291318022,"Block Group 2, Census Tract 1318.02, Bexar County, Texas",741
1500000US480291318023,"Block Group 3, Census Tract 1318.02, Bexar County, Texas",847
1500000US480291401001,"Block Group 1, Census Tract 1401, Bexar County, Texas",698
1500000US480291401002,"Block Group 2, Census Tract 1401, Bexar County, Texas",700
1500000US480291402001,"Block Group 1, Census Tract 1402, Bexar County, Texas",636
1500000US480291402002,"Block Group 2, Census Tract 1402, Bexar County, Texas",516
1500000US480291402003,"Block Group 3, Census Tract 1402, Bexar County, Texas",561
1500000US480291402004,"Block Group 4, Census Tract 1402, Bexar County, Texas",735
1500000US480291403001,"Block Group 1, Census Tract 1403, Bexar County, Texas",619
1500000US480291403002,"Block Group 2, Census Tract 1403, Bexar County, Texas",704
1500000US480291403003,"Block Group 3, Census Tract 1403, Bexar County, Texas",829
1500000US480291404001,"Block Group 1, Census Tract 1404, Bexar County, Texas",879
1500000US480291404002,"Block Group 2, Census Tract 1404, Bexar County, Texas",717
1500000US480291404003,"Block Group 3, Census Tract 1404, Bexar County, Texas",1129
1500000US480291404004,"Block Group 4, Census Tract 1404, Bexar County, Texas",843
1500000US480291405001,"Block Group 1, Census Tract 1405, Bexar County, Texas",967
1500000US480291405002,"Block Group 2, Census Tract 1405, Bexar County, Texas",1055
1500000US480291405003,"Block Group 3, Census Tract 1405, Bexar County, Texas",960
1500000US480291405004,"Block Group 4, Census Tract 1405, Bexar County, Texas",1003
1500000US480291406001,"Block Group 1, Census Tract 1406, Bexar County, Texas",813
1500000US480291406002,"Block Group 2, Census Tract 1406, Bexar County, Texas",834
1500000US480291407001,"Block Group 1, Census Tract 1407, Bexar County, Texas",1093
1500000US480291407002,"Block Group 2, Census Tract 1407, Bexar County, Texas",588
1500000US480291407003,"Block Group 3, Census Tract 1407, Bexar County, Texas",237
1500000US480291407004,"Block Group 4, Census Tract 1407, Bexar County, Texas",733
1500000US480291407005,"Block Group 5, Census Tract 1407, Bexar County, Texas",627
1500000US480291408001,"Block Group 1, Census Tract 1408, Bexar County, Texas",773
1500000US480291408002,"Block Group 2, Census Tract 1408, Bexar County, Texas",796
1500000US480291408003,"Block Group 3, Census Tract 1408, Bexar County, Texas",1081
1500000US480291408004,"Block Group 4, Census Tract 1408, Bexar County, Texas",483
1500000US480291408005,"Block Group 5, Census Tract 1408, Bexar County, Texas",-
1500000US480291409001,"Block Group 1, Census Tract 1409, Bexar County, Texas",841
1500000US480291409002,"Block Group 2, Census Tract 1409, Bexar County, Texas",791
1500000US480291410001,"Block Group 1, Census Tract 1410, Bexar County, Texas",936
1500000US480291410002,"Block Group 2, Census Tract 1410, Bexar County, Texas",639
1500000US480291410003,"Block Group 3, Census Tract 1410, Bexar County, Texas",596
1500000US480291411011,"Block Group 1, Census Tract 1411.01, Bexar County, Texas",684
1500000US480291411012,"Block Group 2, Census Tract 1411.01, Bexar County, Texas",917
1500000US480291411013,"Block Group 3, Census Tract 1411.01, Bexar County, Texas",624
1500000US480291411021,"Block Group 1, Census Tract 1411.02, Bexar County, Texas",603
1500000US480291411022,"Block Group 2, Census Tract 1411.02, Bexar County, Texas",764
