the_geom,cartodb_id,tract,estimate_gross_rent___occupied_units_paying_rent___median_dol,geography
,275,48029181728,1175,"Census Tract 1817.28, Bexar County, Texas"
,276,48029181729,1500,"Census Tract 1817.29, Bexar County, Texas"
,277,48029181730,1059,"Census Tract 1817.30, Bexar County, Texas"
,278,48029181731,1105,"Census Tract 1817.31, Bexar County, Texas"
,279,48029181808,996,"Census Tract 1818.08, Bexar County, Texas"
,280,48029181809,1006,"Census Tract 1818.09, Bexar County, Texas"
,281,48029181811,1151,"Census Tract 1818.11, Bexar County, Texas"
,282,48029181813,950,"Census Tract 1818.13, Bexar County, Texas"
,283,48029181814,1129,"Census Tract 1818.14, Bexar County, Texas"
,284,48029181815,878,"Census Tract 1818.15, Bexar County, Texas"
,285,48029181816,1573,"Census Tract 1818.16, Bexar County, Texas"
,286,48029181817,1186,"Census Tract 1818.17, Bexar County, Texas"
,287,48029181818,949,"Census Tract 1818.18, Bexar County, Texas"
,288,48029181819,958,"Census Tract 1818.19, Bexar County, Texas"
,289,48029181820,1295,"Census Tract 1818.20, Bexar County, Texas"
,290,48029181821,1007,"Census Tract 1818.21, Bexar County, Texas"
,291,48029181822,1092,"Census Tract 1818.22, Bexar County, Texas"
,292,48029181823,1358,"Census Tract 1818.23, Bexar County, Texas"
,293,48029181824,1677,"Census Tract 1818.24, Bexar County, Texas"
,294,48029181825,985,"Census Tract 1818.25, Bexar County, Texas"
,295,48029181826,1293,"Census Tract 1818.26, Bexar County, Texas"
,296,48029181901,1119,"Census Tract 1819.01, Bexar County, Texas"
,297,48029181902,1817,"Census Tract 1819.02, Bexar County, Texas"
,298,48029182001,1097,"Census Tract 1820.01, Bexar County, Texas"
,299,48029182002,1121,"Census Tract 1820.02, Bexar County, Texas"
,300,48029182003,1453,"Census Tract 1820.03, Bexar County, Texas"
,301,48029182101,2066,"Census Tract 1821.01, Bexar County, Texas"
,302,48029182102,1542,"Census Tract 1821.02, Bexar County, Texas"
,303,48029182103,548,"Census Tract 1821.03, Bexar County, Texas"
,304,48029182105,1750,"Census Tract 1821.05, Bexar County, Texas"
,305,48029182106,1671,"Census Tract 1821.06, Bexar County, Texas"
,306,48029190100,651,"Census Tract 1901, Bexar County, Texas"
,307,48029190200,825,"Census Tract 1902, Bexar County, Texas"
,308,48029190400,1004,"Census Tract 1904, Bexar County, Texas"
,309,48029190501,936,"Census Tract 1905.01, Bexar County, Texas"
,310,48029190503,822,"Census Tract 1905.03, Bexar County, Texas"
,311,48029190504,806,"Census Tract 1905.04, Bexar County, Texas"
,312,48029190601,802,"Census Tract 1906.01, Bexar County, Texas"
,313,48029190603,1016,"Census Tract 1906.03, Bexar County, Texas"
,314,48029190604,819,"Census Tract 1906.04, Bexar County, Texas"
,315,48029190700,752,"Census Tract 1907, Bexar County, Texas"
,316,48029190800,782,"Census Tract 1908, Bexar County, Texas"
,317,48029190901,726,"Census Tract 1909.01, Bexar County, Texas"
,318,48029190902,995,"Census Tract 1909.02, Bexar County, Texas"
,319,48029191003,829,"Census Tract 1910.03, Bexar County, Texas"
,320,48029191004,764,"Census Tract 1910.04, Bexar County, Texas"
,321,48029191005,788,"Census Tract 1910.05, Bexar County, Texas"
,322,48029191006,884,"Census Tract 1910.06, Bexar County, Texas"
,323,48029191101,1160,"Census Tract 1911.01, Bexar County, Texas"
,324,48029191102,914,"Census Tract 1911.02, Bexar County, Texas"
,325,48029191201,1464,"Census Tract 1912.01, Bexar County, Texas"
,326,48029191202,888,"Census Tract 1912.02, Bexar County, Texas"
,327,48029191303,902,"Census Tract 1913.03, Bexar County, Texas"
,328,48029191304,683,"Census Tract 1913.04, Bexar County, Texas"
,329,48029191405,922,"Census Tract 1914.05, Bexar County, Texas"
,330,48029191406,1271,"Census Tract 1914.06, Bexar County, Texas"
,331,48029191408,798,"Census Tract 1914.08, Bexar County, Texas"
,332,48029191409,866,"Census Tract 1914.09, Bexar County, Texas"
,333,48029191410,834,"Census Tract 1914.10, Bexar County, Texas"
,334,48029191411,1008,"Census Tract 1914.11, Bexar County, Texas"
,335,48029191412,3050,"Census Tract 1914.12, Bexar County, Texas"
,336,48029191413,1083,"Census Tract 1914.13, Bexar County, Texas"
,337,48029191503,1040,"Census Tract 1915.03, Bexar County, Texas"
,338,48029191504,3150,"Census Tract 1915.04, Bexar County, Texas"
,339,48029191505,0,"Census Tract 1915.05, Bexar County, Texas"
,340,48029191506,939,"Census Tract 1915.06, Bexar County, Texas"
,341,48029191701,1750,"Census Tract 1917.01, Bexar County, Texas"
,342,48029191702,1226,"Census Tract 1917.02, Bexar County, Texas"
,343,48029191804,0,"Census Tract 1918.04, Bexar County, Texas"
,344,48029191806,1129,"Census Tract 1918.06, Bexar County, Texas"
,345,48029191807,1060,"Census Tract 1918.07, Bexar County, Texas"
,346,48029191808,1373,"Census Tract 1918.08, Bexar County, Texas"
,347,48029191809,1492,"Census Tract 1918.09, Bexar County, Texas"
,348,48029191810,1426,"Census Tract 1918.10, Bexar County, Texas"
,349,48029191811,1767,"Census Tract 1918.11, Bexar County, Texas"
,350,48029191812,1779,"Census Tract 1918.12, Bexar County, Texas"
,351,48029191813,1538,"Census Tract 1918.13, Bexar County, Texas"
,352,48029191814,2082,"Census Tract 1918.14, Bexar County, Texas"
,353,48029191815,1204,"Census Tract 1918.15, Bexar County, Texas"
,354,48029191816,1199,"Census Tract 1918.16, Bexar County, Texas"
,355,48029191817,1400,"Census Tract 1918.17, Bexar County, Texas"
,356,48029191900,695,"Census Tract 1919, Bexar County, Texas"
,357,48029192000,718,"Census Tract 1920, Bexar County, Texas"
,358,48029192100,1041,"Census Tract 1921, Bexar County, Texas"
,359,48029192200,1101,"Census Tract 1922, Bexar County, Texas"
,360,48029192300,979,"Census Tract 1923, Bexar County, Texas"
,361,48029980001,0,"Census Tract 9800.01, Bexar County, Texas"
,362,48029980002,0,"Census Tract 9800.02, Bexar County, Texas"
,363,48029980003,1400,"Census Tract 9800.03, Bexar County, Texas"
,364,48029980004,0,"Census Tract 9800.04, Bexar County, Texas"
,365,48029980005,0,"Census Tract 9800.05, Bexar County, Texas"
,366,48029980100,1202,"Census Tract 9801, Bexar County, Texas"
